Ano Letivo;Nome;Pedra;INDE;Nº Av;IAA;IEG;IPS;IDA;IPV;IAN;IPP
2023;Aluno-39;Topázio;8,7;4;9,6;9,1;7,5;7,8;8,8;10;8,8
2023;Aluno-384;Ágata;6,8;4;0;9,1;2,5;7,3;7,3;10;7,7
2023;Aluno-38;Topázio;8,8;4;9,6;9,7;7,5;7,7;8,9;10;8,8
2022;Aluno-57;Ametista;7,3;3;7,1;8,1;5,6;8,4;7,9;5;6,5
2022;Aluno-81;Ametista;7,7;4;9,2;9,2;5;6;7,5;10;7,4
2022;Aluno-276;Quartzo;5,5;4;7,1;5,7;5,6;4,3;5,1;5;7,1
2023;Aluno-55;Ágata;6,9;4;7,9;8,1;3,1;7,1;7,5;5;7,5
2023;Aluno-98;Ametista;7,2;0;7,9;8,8;2,5;4,9;8;10;8,2
2023;Aluno-189;Ametista;7,7;4;7,9;9,4;2,5;6,5;8,4;10;8,3
2023;Aluno-196;Ametista;7,6;4;7,9;9;2,5;6,2;8,2;10;8,3
2022;Aluno-278;Ametista;7,7;4;8,8;9,2;5,6;6;7,4;10;7,4
2022;Aluno-368;Ágata;7;3;8;7,9;5;7,3;7,5;5;6,6
2023;Aluno-368;Quartzo;5,8;4;0;7,7;2,5;6,7;7,3;5;7
2022;Aluno-461;Quartzo;5,5;3;0;6,7;7,5;3,8;7,2;5;7,1
2022;Aluno-333;Quartzo;5,2;3;8;5,8;3,8;2,9;6,7;5;4,4
2022;Aluno-216;Ametista;7,5;4;7,9;8,5;7,5;7;5,6;10;7,4
2023;Aluno-568;Ágata;7;3;7;7,9;5;7,6;8;2,5;8,1
2023;Aluno-556;Ametista;7,7;3;8,5;9,6;2,5;7,2;9,4;5;9,2
2022;Aluno-208;Ágata;6,7;4;7,5;7,1;7,5;6,1;6,4;5;7,8
2023;Aluno-278;Ametista;7,2;4;0;9,8;5,6;5,6;8,4;10;8,8
2022;Aluno-454;Quartzo;5,6;3;9,5;8,6;5;2,3;5,4;5;3,9
2023;Aluno-400;Ágata;6,5;4;9,2;9;2,5;4,1;7,4;5;7,7
2023;Aluno-362;Ágata;6,4;4;0;7,5;7,5;5,1;7,1;10;7
2022;Aluno-200;Quartzo;5,7;4;7,9;5,6;4,4;5,5;4,9;5;7,7
2023;Aluno-273;Ágata;6,3;4;7,9;7,4;2,5;5;7,6;5;7,8
2023;Aluno-381;Quartzo;5,8;4;0;8,4;6,9;3,9;6,8;5;7,3
2022;Aluno-196;Topázio;8,1;4;9,2;9,1;7,5;5,1;8,6;10;8,7
2023;Aluno-180;Topázio;8,3;4;9,2;9,4;2,5;8;8,9;10;8,4
2023;Aluno-416;Topázio;8,1;4;9,2;9,8;2,5;7,6;8,3;10;8,3
2022;Aluno-496;Ágata;6,7;3;8,5;6,8;7,5;5,7;7,6;5;5,8
2023;Aluno-251;Ágata;6,7;4;9,6;8;2,5;5,3;7,8;5;7,3
2022;Aluno-189;Ametista;7,6;4;10;9,7;5;7,2;7,3;5;7,6
2022;Aluno-416;Ametista;7,9;3;9,5;9,3;8,8;7,2;8,2;5;6,3
2022;Aluno-273;Quartzo;5,7;4;9,2;5,3;7,5;3;5,8;5;7,1
2022;Aluno-370;Ametista;7,1;3;8,5;8,2;5;7,2;7,6;5;6,5
2023;Aluno-551;Ametista;7,1;3;10;8,6;2,5;5,4;8,4;5;8,5
2022;Aluno-330;Ágata;6,4;3;9,5;8,8;7,5;2,5;7,1;5;5,2
2023;Aluno-367;Ametista;7,4;4;8,8;8,7;2,5;5,9;7,8;10;7,8
2022;Aluno-367;Ágata;7;3;8,5;7,4;6,3;6,7;7,5;5;7
2022;Aluno-251;Ágata;7;4;10;8,1;5,6;6,3;6,6;5;7,4
2023;Aluno-461;Ametista;7,2;3;7,3;7,9;3,8;7,4;8,6;5;8,5
2023;Aluno-170;Ametista;7,1;4;8,8;8,9;2,5;7,2;7,7;5;6,9
2023;Aluno-330;Ágata;6,1;4;9,6;7,2;6,9;3,3;5,8;5;6,7
2023;Aluno-412;Ametista;7,4;4;8,8;8,9;2,5;6,2;7,6;10;7
2022;Aluno-244;Topázio;8,5;4;7,5;9,4;6,3;7,8;9,2;10;8,4
2022;Aluno-252;Quartzo;4,3;4;9,2;2,8;7,5;0,9;3,9;5;6,1
2022;Aluno-362;Ametista;7,4;3;8,5;7,9;7,5;7,9;7,5;5;6,4
2022;Aluno-355;Quartzo;5,4;3;5,8;5;7,5;4,5;6,1;5;4,5
2023;Aluno-242;Topázio;8,2;4;7,1;9,7;2,5;7,9;9,4;10;8,6
2022;Aluno-242;Topázio;8,7;4;9,6;9,7;5,6;8,2;8,7;10;8,6
2022;Aluno-354;Quartzo;5,9;3;8,5;4,3;7,5;4,5;7,3;5;5,8
2023;Aluno-444;Quartzo;6;4;0;7,9;5;4,7;6,5;10;6,4
2022;Aluno-400;Ágata;6;3;9;8,5;5;1,7;7,4;5;5,8
2023;Aluno-454;Quartzo;4,6;4;0;7,5;5;2,6;5,5;5;4,7
2022;Aluno-444;Ágata;6,7;3;9;7,2;5;3,1;7,8;10;6,8
2023;Aluno-176;Topázio;8,3;4;9,6;9,5;2,5;8;9;10;8,1
2023;Aluno-200;Quartzo;5,7;4;9,6;4,5;2,5;4,3;7,2;5;7,5
2022;Aluno-257;Quartzo;5,1;4;0;6,4;5,6;3,6;6,7;5;7
2022;Aluno-410;Quartzo;5,7;3;7,4;6,5;6,3;2;7,4;5;6,5
2022;Aluno-395;Ametista;7,7;3;9;8,9;7,5;4,9;8,3;10;6,3
2022;Aluno-393;Quartzo;5,5;3;10;5,4;5;4,6;6,8;2,5;3,9
2022;Aluno-258;Ágata;6,9;4;10;7,3;5,6;4,8;6,1;10;7
2022;Aluno-412;Ametista;7,6;3;8,5;9;7,5;7,3;7,8;5;6,8
2022;Aluno-446;Ametista;7,4;3;9,5;8,9;5;6,9;7,9;5;7,1
2023;Aluno-244;Ametista;7;4;0;8,8;2,5;7,3;8,8;10;8,1
2023;Aluno-410;Ágata;6,1;4;8,8;5,8;7,5;4,9;6;5;6,7
2022;Aluno-381;Ágata;6,5;3;9;8,3;6,9;3,3;6,9;5;7,1
2023;Aluno-395;Ametista;7,5;4;9,2;8,6;2,5;6;7,9;10;8
2023;Aluno-595;Quartzo;5,1;3;0;7;7,5;3,3;5,6;5;6,7
2022;Aluno-275;Ágata;6,7;4;9,6;6,9;7,5;4,6;6,7;5;8,5
2022;Aluno-175;Ágata;6,8;4;8,3;9,2;5,6;5,9;5,8;5;7,3
2022;Aluno-78;Ametista;7;4;8,3;6,6;5,6;7,2;8;5;7,5
2023;Aluno-79;Ágata;6,6;4;5,8;6,2;5;7,6;7,6;5;7,8
2022;Aluno-551;Ágata;6,9;2;8,5;7,3;6,9;6,6;7,3;5;6,2
2022;Aluno-107;Ágata;6,3;4;7,5;6,4;7,5;4,6;6,5;5;8
2023;Aluno-164;Quartzo;5,6;4;0;8,2;2,5;5,8;7;5;6,9
2023;Aluno-84;Ágata;6;4;0;8,8;2,5;6;7,7;5;7,8
2023;Aluno-161;Ágata;6,3;4;0;7,3;2,5;5,8;7,8;10;8,1
2022;Aluno-161;Ametista;8;4;7,9;9,1;5,6;6,9;8,1;10;8,3
2022;Aluno-157;Topázio;8,3;4;7,5;10;6,3;7,7;8,3;10;7,2
